input_doi,matched_doi,confidence,matched_doi_type,matched_in_openalex
10.48550/arxiv.1706.01345,10.1007/s10910-018-0949-7,0.8728,journal-article,FALSE
10.48550/arxiv.1802.06108,10.1371/journal.pone.0234434,1,journal-article,TRUE
10.48550/arxiv.2409.03869,10.3847/1538-4357/ad6b10,0.9499,journal-article,FALSE
10.48550/arxiv.2202.04055,10.1098/rsos.220552,0.9963,journal-article,FALSE
10.48550/arxiv.2309.07677,10.1109/ictai59109.2023.00119,0.9556,proceedings-article,FALSE
10.48550/arxiv.1807.04448,10.1109/asonam.2018.8508554,1,proceedings-article,TRUE
10.48550/arxiv.0708.1719,10.1016/0370-2693(87)90510-7,0.8657,journal-article,TRUE
10.48550/arxiv.2305.06058,10.34133/icomputing.0123,0.965,journal-article,FALSE
10.48550/arxiv.2210.13786,10.1007/s00526-023-02620-5,1,journal-article,FALSE
10.48550/arxiv.1512.04353,10.1142/s0219498818501797,0.9875,journal-article,TRUE
10.48550/arxiv.1608.06961,10.1002/jcd.21601,1,journal-article,TRUE
10.48550/arxiv.1506.05241,10.1215/ijm/1506067283,1,journal-article,TRUE
10.48550/arxiv.1904.05985,10.1145/3308560.3316598,1,proceedings-article,TRUE
10.48550/arxiv.1211.1351,10.1007/978-1-4614-7621-4_15,1,book-chapter,TRUE
10.48550/arxiv.1801.04602,10.22331/q-2018-03-30-59,1,journal-article,TRUE
10.48550/arxiv.2010.06872,10.1080/00927872.2021.1959921,1,journal-article,TRUE
10.48550/arxiv.1706.10082,10.1007/s41468-018-0013-5,0.95,journal-article,TRUE
10.48550/arxiv.2311.08894,10.18653/v1/2024.acl-long.495,0.9773,proceedings-article,FALSE
10.48550/arxiv.2204.05866,10.14231/ag-2023-017,0.9472,journal-article,FALSE
10.48550/arxiv.2003.09508,10.25368/2022.221,0.859,report,FALSE
10.48550/arxiv.1505.06238,10.1007/s10474-016-0611-4,1,journal-article,TRUE
10.48550/arxiv.1502.01736,10.1063/1.4965687,1,proceedings-article,TRUE
10.48550/arxiv.1908.01142,10.1057/s41283-021-00087-2,0.9565,journal-article,FALSE
10.48550/arxiv.1511.02284,10.1007/s00158-016-1587-y,1,journal-article,TRUE
10.48550/arxiv.2207.03442,10.1109/cvpr52729.2023.01134,0.966,proceedings-article,FALSE
10.48550/arxiv.1306.1667,10.1142/9789814590297_0008,0.9971,book-chapter,FALSE
10.48550/arxiv.2005.04829,10.4171/dm/852,1,journal-article,TRUE
10.48550/arxiv.1009.2651,10.1007/s10444-011-9183-6,1,journal-article,FALSE
10.48550/arxiv.1603.09561,10.1007/978-3-319-14974-5_16,0.875,book-chapter,TRUE
10.48550/arxiv.2304.14281,10.1109/wacv57701.2024.00229,1,proceedings-article,TRUE
10.48550/arxiv.1911.11104,10.1142/9789811220050_0007,1,book-chapter,FALSE
10.48550/arxiv.1502.00976,10.1007/s11856-017-1610-z,1,journal-article,TRUE
10.48550/arxiv.2307.01623,10.1016/j.spa.2024.104361,1,journal-article,TRUE
10.48550/arxiv.2305.16518,10.1007/s11587-024-00922-0,1,journal-article,FALSE
10.48550/arxiv.1508.05154,10.18653/v1/d15-1182,1,proceedings-article,TRUE
10.48550/arxiv.math-ph/0701051,10.1088/1751-8113/40/13/011,1,journal-article,TRUE
10.48550/arxiv.astro-ph/9903373,10.1017/cbo9780511564611.011,1,book-chapter,TRUE
10.48550/arxiv.2209.01252,10.1007/978-3-031-19679-9_72,1,book-chapter,TRUE
10.48550/arxiv.1912.07221,10.3389/fnins.2021.526257,0.8933,journal-article,FALSE
10.48550/arxiv.math/0208162,10.1142/9789812704443_0014,0.875,proceedings-article,TRUE
10.48550/arxiv.2003.06377,10.1609/aaai.v35i9.16987,0.9664,journal-article,FALSE
10.48550/arxiv.math/9801158,10.1006/jnth.1998.2232,0.9768,journal-article,FALSE
10.48550/arxiv.math/9903018,10.1007/bf01234797,0.9722,journal-article,FALSE
10.48550/arxiv.2211.15588,10.1109/jiot.2023.3247594,1,journal-article,TRUE
10.48550/arxiv.1505.06371,10.1088/1361-6544/aab1cd,0.9875,journal-article,TRUE
10.48550/arxiv.1607.02017,10.1214/17-aos1645,0.9028,journal-article,FALSE
10.48550/arxiv.1812.06510,10.1016/b978-0-12-820676-8.00009-0,0.8662,book-chapter,FALSE
10.48550/arxiv.2011.00313,10.1016/j.matpur.2022.09.002,1,journal-article,TRUE
10.48550/arxiv.2407.09340,10.1063/5.0244665,0.9957,journal-article,FALSE
10.48550/arxiv.2110.04680,10.1007/s00605-022-01711-3,1,journal-article,TRUE
10.48550/arxiv.1608.08823,10.1109/cdc.2016.7798473,0.971,proceedings-article,FALSE
10.48550/arxiv.1208.5927,10.1016/j.nuclphysa.2012.12.006,0.9842,journal-article,FALSE
10.48550/arxiv.2309.10215,10.1007/978-3-031-47451-4_13,1,book-chapter,TRUE
10.48550/arxiv.2104.02539,10.1090/tran/8972,0.9848,journal-article,FALSE
10.48550/arxiv.2211.01115,10.1186/s12874-023-01988-4,1,journal-article,TRUE
10.48550/arxiv.1910.10673,10.1109/tcns.2022.3203470,0.875,journal-article,TRUE
10.48550/arxiv.hep-ph/9412297,10.1007/978-1-4613-1147-8_32,1,book-chapter,TRUE
10.48550/arxiv.math/0603055,10.4064/fm189-1-2,1,journal-article,TRUE
10.48550/arxiv.2304.01643,10.1109/ojcoms.2024.3413863,1,journal-article,TRUE
10.48550/arxiv.hep-ph/0509178,10.1016/j.cpc.2006.06.004,0.8848,journal-article,FALSE
10.48550/arxiv.cond-mat/0409606,10.1021/cm0500760,0.9411,journal-article,TRUE
10.48550/arxiv.1912.03106,10.1007/s00791-020-00333-2,1,journal-article,FALSE
10.48550/arxiv.1304.4104,10.1109/lics.2013.26,1,proceedings-article,TRUE
10.48550/arxiv.1701.06663,10.1214/16-aap1260,1,journal-article,TRUE
10.48550/arxiv.1701.06410,10.2139/ssrn.2864309,0.875,journal-article,FALSE
10.48550/arxiv.1912.04037,10.1090/proc/15500,1,journal-article,TRUE
10.48550/arxiv.2302.00654,10.1609/aaai.v37i13.27086,1,journal-article,TRUE
10.48550/arxiv.funct-an/9502003,10.1515/9783110936520.185,0.8611,book-chapter,TRUE
10.48550/arxiv.1902.09781,10.18653/v1/n19-1159,0.9077,proceedings-article,FALSE
10.48550/arxiv.1603.09479,10.1016/j.jmaa.2016.12.066,1,journal-article,TRUE
10.48550/arxiv.1607.07234,10.1109/glocom.2016.7841750,1,proceedings-article,TRUE
10.48550/arxiv.2404.11261,10.1126/sciadv.abq7224,0.875,journal-article,FALSE
10.48550/arxiv.0704.2357,10.1017/s0143385706001106,0.9657,journal-article,TRUE
10.48550/arxiv.1808.00736,10.1007/978-3-030-11012-3_12,1,book-chapter,TRUE
10.48550/arxiv.1004.1990,10.1103/physrevlett.105.180402,0.9263,journal-article,FALSE
10.48550/arxiv.2002.09209,10.18637/jss.v098.i11,0.9757,journal-article,FALSE
10.48550/arxiv.1701.08668,10.1016/j.ifacol.2017.08.2178,1,journal-article,FALSE
10.48550/arxiv.2404.11954,10.1103/physrevd.110.066022,1,journal-article,FALSE
10.48550/arxiv.2311.07961,10.18653/v1/2024.naacl-long.327,1,proceedings-article,TRUE
10.48550/arxiv.1706.08892,10.1016/j.jmaa.2017.06.029,1,journal-article,TRUE
10.48550/arxiv.2009.08797,10.1007/s40314-022-02149-x,0.9289,journal-article,FALSE
10.48550/arxiv.2502.08017,10.1016/j.scriptamat.2025.116682,1,journal-article,FALSE
10.48550/arxiv.1901.02837,10.1007/s00526-019-1660-7,0.9178,journal-article,FALSE
10.48550/arxiv.2007.14204,10.1137/1.9781611976465.113,1,book-chapter,TRUE
10.48550/arxiv.cond-mat/9606075,10.12693/aphyspola.91.359,1,journal-article,TRUE
10.48550/arxiv.math/0109111,10.1016/s0022-1236(02)00043-5,0.9889,journal-article,FALSE
10.48550/arxiv.0812.0455,10.1103/physrevlett.103.017204,0.9964,journal-article,TRUE
10.48550/arxiv.2202.07583,10.1016/j.eswa.2022.118299,0.9972,journal-article,FALSE
10.48550/arxiv.1804.11123,10.1007/s00205-020-01507-5,0.958,journal-article,FALSE
10.48550/arxiv.math/0612631,10.2206/kyushujm.61.527,0.8502,journal-article,FALSE
10.48550/arxiv.1011.6513,10.1017/cbo9781139107174.024,1,book-chapter,TRUE
10.48550/arxiv.2411.08779,10.1103/physrevlett.134.183401,0.9774,journal-article,FALSE
10.48550/arxiv.2312.16986,10.1093/mnras/stad3908,0.9917,journal-article,TRUE
10.48550/arxiv.1810.00757,10.1038/s41598-019-43302-7,0.9967,journal-article,TRUE
10.48550/arxiv.1710.01951,10.1038/s41598-018-27393-2,1,journal-article,FALSE
10.48550/arxiv.1803.06048,10.1214/18-aoas1235,0.9278,journal-article,FALSE
10.48550/arxiv.2309.03595,10.2139/ssrn.4533699,1,journal-article,TRUE
10.48550/arxiv.2311.09949,10.1007/s11784-025-01198-z,1,journal-article,FALSE
10.48550/arxiv.1911.05019,10.1007/s00209-020-02689-0,1,journal-article,TRUE
10.48550/arxiv.1602.06386,10.1142/s0129167x17500860,1,journal-article,TRUE
10.48550/arxiv.1505.03940,10.1016/j.na.2015.11.009,1,journal-article,TRUE
10.48550/arxiv.2011.05947,10.1007/s00023-021-01133-1,1,journal-article,TRUE
10.48550/arxiv.1803.07066,10.1007/978-3-030-01258-8_24,1,book-chapter,TRUE
10.48550/arxiv.2104.12052,10.1007/s11565-021-00378-2,0.9476,journal-article,FALSE
10.48550/arxiv.2107.13954,10.1103/physreve.105.065113,1,journal-article,TRUE
10.48550/arxiv.2309.01925,10.1109/iros55552.2023.10341552,1,proceedings-article,TRUE
10.48550/arxiv.2008.13149,10.4310/hha.2022.v24.n2.a8,1,journal-article,TRUE
10.48550/arxiv.2005.10752,10.1109/mwc.015.2100674,0.9564,journal-article,FALSE
10.48550/arxiv.2403.15357,10.1016/j.aim.2025.110161,1,journal-article,FALSE
10.48550/arxiv.2209.02750,10.1214/23-ba1406,0.9875,journal-article,TRUE
10.48550/arxiv.1009.6057,10.1109/isit.2011.6033983,1,proceedings-article,TRUE
10.48550/arxiv.2403.16209,10.54097/m3m0hv16,1,journal-article,TRUE
10.48550/arxiv.1706.00672,10.1016/j.jvcir.2019.01.026,1,journal-article,TRUE
10.48550/arxiv.2301.13701,10.1214/24-ba1502,1,journal-article,FALSE
10.48550/arxiv.2208.05928,10.21136/cmj.2023.0395-22,1,journal-article,TRUE
10.48550/arxiv.math/0701622,10.1109/tac.2007.911318,1,journal-article,TRUE
10.48550/arxiv.1809.03813,10.1007/s41605-018-0049-z,0.9602,journal-article,TRUE
10.48550/arxiv.2003.13376,10.1109/srds51746.2020.00017,1,proceedings-article,TRUE
10.48550/arxiv.1302.3463,10.1534/genetics.114.173658,0.8967,journal-article,FALSE
10.48550/arxiv.1910.03736,10.5334/jors.308,1,journal-article,TRUE
10.48550/arxiv.2402.12124,10.1088/1742-5468/ad244e,1,journal-article,TRUE
10.48550/arxiv.1712.08277,10.1016/j.geb.2018.11.012,1,journal-article,TRUE
10.48550/arxiv.1703.01797,10.1016/j.peva.2017.03.006,1,journal-article,TRUE
10.48550/arxiv.2407.19591,10.1103/physrevlett.133.248401,1,journal-article,FALSE
10.48550/arxiv.math/0607237,10.1016/j.jalgebra.2007.01.044,1,journal-article,TRUE
10.48550/arxiv.2001.08268,10.1016/j.apnum.2020.09.004,1,journal-article,TRUE
10.48550/arxiv.1808.05295,10.2139/ssrn.3129881,1,journal-article,TRUE
10.48550/arxiv.1101.0261,10.22323/1.120.0305,1,proceedings-article,TRUE
10.48550/arxiv.2310.04530,10.1051/0004-6361/202347603,0.9935,journal-article,FALSE
10.48550/arxiv.2410.08871,10.1016/j.renene.2025.122887,1,journal-article,FALSE
10.48550/arxiv.2005.05591,10.1109/infocomwkshps50562.2020.9163033,1,proceedings-article,TRUE
10.48550/arxiv.2311.06811,10.1007/s10203-023-00425-x,1,journal-article,TRUE
10.48550/arxiv.2010.11574,10.1007/978-3-030-89363-7_7,1,book-chapter,TRUE
10.48550/arxiv.2202.07081,10.1017/psrm.2024.17,0.9484,journal-article,FALSE
10.48550/arxiv.1302.1939,10.1145/2465848.2465850,1,proceedings-article,TRUE
10.48550/arxiv.cond-mat/0510022,10.4028/0-87849-414-6.241,0.8804,book-chapter,FALSE
10.48550/arxiv.2306.14485,10.1007/s00209-024-03531-7,1,journal-article,FALSE
10.48550/arxiv.1708.00972,10.1016/j.jmaa.2018.05.064,1,journal-article,TRUE
10.48550/arxiv.1203.5200,10.1142/s021902571450009x,0.879,journal-article,FALSE
10.48550/arxiv.1305.2587,10.1287/moor.2014.0690,0.9756,journal-article,TRUE
10.48550/arxiv.2206.12631,10.1090/btran/204,0.9875,journal-article,FALSE
10.48550/arxiv.1212.0051,10.1142/s1793525315500193,0.9875,journal-article,TRUE
10.48550/arxiv.1904.03365,10.21437/interspeech.2019-1541,1,proceedings-article,TRUE
10.48550/arxiv.1708.03306,10.1016/j.fss.2019.03.015,0.9875,journal-article,TRUE
10.48550/arxiv.1112.1807,10.31390/cosa.7.4.05,0.9382,journal-article,FALSE
10.48550/arxiv.2108.03130,10.1109/icassp43922.2022.9747528,1,proceedings-article,TRUE
10.48550/arxiv.2301.04604,10.1109/iccv51070.2023.00704,1,proceedings-article,TRUE
10.48550/arxiv.0801.0249,10.1007/978-1-4614-1800-9_6,0.943,book-chapter,FALSE
10.48550/arxiv.2110.07855,10.18653/v1/2022.acl-short.37,1,proceedings-article,TRUE
10.48550/arxiv.2312.00693,10.1088/2516-1075/ad38f8,1,journal-article,TRUE
10.48550/arxiv.1705.04787,10.1007/978-981-15-0302-3_6,1,book-chapter,TRUE
10.48550/arxiv.2102.09478,10.1016/j.tcs.2023.114051,1,journal-article,TRUE
10.48550/arxiv.2404.11439,10.1016/j.firesaf.2024.104269,1,journal-article,TRUE
10.48550/arxiv.math/0407286,10.1002/rsa.20077,1,journal-article,TRUE
10.48550/arxiv.2109.01535,10.1103/physrevresearch.4.023006,0.9619,journal-article,TRUE
10.48550/arxiv.physics/0308016,10.1016/s0079-6638(05)47002-x,1,book-chapter,TRUE
10.48550/arxiv.1604.05549,10.1109/tcns.2017.2747839,1,journal-article,TRUE
10.48550/arxiv.1404.0246,10.1007/s11854-017-0022-7,0.9875,journal-article,TRUE
10.48550/arxiv.2503.12912,10.1609/aaai.v39i2.32145,1,journal-article,FALSE
10.48550/arxiv.2308.04042,10.1088/1674-1056/ad4ff7,0.9361,journal-article,FALSE
10.48550/arxiv.2404.15575,10.1109/aero58975.2024.10521402,1,proceedings-article,TRUE
10.48550/arxiv.cond-mat/0412596,10.1016/j.physb.2006.06.148,0.9875,journal-article,TRUE
10.48550/arxiv.2103.04778,10.1109/icaica52286.2021.9498199,1,proceedings-article,TRUE
10.48550/arxiv.1501.06949,10.1007/s00526-016-1072-x,1,journal-article,TRUE
10.48550/arxiv.2306.04043,10.18653/v1/2023.wnu-1.13,1,proceedings-article,TRUE
10.48550/arxiv.2002.01058,10.1007/s43674-021-00004-w,1,journal-article,TRUE
10.48550/arxiv.0807.2952,10.3150/09-bej199,1,journal-article,TRUE
10.48550/arxiv.math/9803015,10.1017/s0308210500013160,0.875,journal-article,TRUE
10.48550/arxiv.2207.03854,10.1103/physrevd.106.063520,1,journal-article,TRUE
10.48550/arxiv.2401.09381,10.1007/978-3-031-85870-3_13,1,book-chapter,FALSE
10.48550/arxiv.1901.00244,10.1109/compcomm.2018.8780889,0.875,proceedings-article,TRUE
10.48550/arxiv.2104.07070,10.1109/cvprw53098.2021.00129,1,proceedings-article,TRUE
10.48550/arxiv.2304.00634,10.18653/v1/2023.c3nlp-1.6,1,proceedings-article,TRUE
10.48550/arxiv.1810.08092,10.1145/3319535.3363213,0.9812,proceedings-article,FALSE
10.48550/arxiv.1803.10141,10.1080/03081087.2018.1527891,1,journal-article,TRUE
10.48550/arxiv.2409.05966,10.23919/cnsm62983.2024.10814381,1,proceedings-article,FALSE
10.48550/arxiv.1406.3229,10.1017/s0963548315000036,0.994,journal-article,TRUE
10.48550/arxiv.1403.0570,10.1117/12.907744,0.875,proceedings-article,TRUE
10.48550/arxiv.1202.6006,10.1002/adem.201200083,0.9585,journal-article,TRUE
10.48550/arxiv.2006.06951,10.1016/j.comgeo.2021.101854,1,journal-article,TRUE
10.48550/arxiv.1405.5937,10.2316/journal.206.2010.4.206-3240,0.875,journal-article,TRUE
10.48550/arxiv.1110.3040,10.1007/978-3-0348-0405-9_14,1,book-chapter,TRUE
10.48550/arxiv.2306.14804,10.1103/physrevresearch.5.043087,1,journal-article,TRUE
10.48550/arxiv.1605.02135,10.4171/ggd/491,1,journal-article,TRUE
10.48550/arxiv.2108.01338,10.1109/iros51168.2021.9635966,1,proceedings-article,TRUE
10.48550/arxiv.1911.02424,10.1090/mcom/3709,1,journal-article,TRUE
10.48550/arxiv.2408.08948,10.1007/jhep12(2024)121,1,journal-article,TRUE
10.48550/arxiv.2205.07596,10.1109/tit.2024.3408043,1,journal-article,TRUE
10.48550/arxiv.1807.11749,10.1016/j.disc.2019.02.013,1,journal-article,TRUE
10.48550/arxiv.math/0406448,10.1016/j.laa.2005.01.015,0.8958,journal-article,FALSE
10.48550/arxiv.2011.11139,10.1109/jiot.2020.3045831,0.9453,journal-article,TRUE
10.48550/arxiv.math/0606060,10.1007/s00020-008-1569-6,0.9858,journal-article,TRUE
10.48550/arxiv.2402.11568,10.1063/5.0203977,1,journal-article,TRUE
10.48550/arxiv.2406.05644,10.18653/v1/2024.findings-emnlp.139,1,proceedings-article,FALSE
10.48550/arxiv.2102.07704,10.1109/isit45174.2021.9517816,1,proceedings-article,TRUE
10.48550/arxiv.chao-dyn/9601011,10.1007/bf02088948,0.9722,journal-article,TRUE
10.48550/arxiv.math/0701147,10.1017/s0013091507000053,0.8926,journal-article,FALSE
10.48550/arxiv.1709.08704,10.3847/1538-3881/aa911c,0.946,journal-article,TRUE
10.48550/arxiv.1505.07204,10.1016/j.acha.2017.01.005,0.9667,journal-article,FALSE
10.48550/arxiv.2106.01108,10.1145/3465084.3467900,1,proceedings-article,TRUE
10.48550/arxiv.2412.12137,10.1140/epjc/s10052-025-14035-x,1,journal-article,FALSE
10.48550/arxiv.1509.03366,10.1007/s00205-018-1299-0,0.9875,journal-article,TRUE
10.48550/arxiv.1512.06894,10.4310/cjm.2017.v5.n3.a2,1,journal-article,TRUE
10.48550/arxiv.2401.05288,10.1038/s41524-024-01344-0,0.9956,journal-article,FALSE
10.48550/arxiv.1702.01042,10.1109/tcomm.2018.2832618,1,journal-article,TRUE
10.48550/arxiv.1409.4878,10.1098/rsos.150477,1,journal-article,TRUE
10.48550/arxiv.1801.03226,10.1609/aaai.v32i1.11691,1,journal-article,TRUE
10.48550/arxiv.2110.06146,10.1137/1.9781611977042.6,1,book-chapter,FALSE
10.48550/arxiv.1901.05710,10.5802/alco.101,1,journal-article,TRUE
10.48550/arxiv.2112.03989,10.22323/1.396.0120,1,proceedings-article,TRUE
10.48550/arxiv.1402.0079,10.1016/j.optcom.2015.08.012,0.905,journal-article,FALSE
10.48550/arxiv.2406.10020,10.1038/s41598-024-74866-8,1,journal-article,FALSE
10.48550/arxiv.0809.1060,10.2140/apde.2010.3.261,1,journal-article,TRUE
10.48550/arxiv.1910.07323,10.1109/asru46091.2019.9003981,1,proceedings-article,TRUE
10.48550/arxiv.2502.01152,10.1109/icassp49660.2025.10889177,1,proceedings-article,FALSE
10.48550/arxiv.math/9706213,10.5486/pmd.1998.2024,0.877,journal-article,FALSE
10.48550/arxiv.2107.14280,10.1021/acs.jpclett.1c02852,0.9657,journal-article,TRUE
10.48550/arxiv.1909.08494,10.1109/waspaa.2019.8937170,1,proceedings-article,TRUE
10.48550/arxiv.1801.08494,10.18608/jla.2018.52.7,1,journal-article,TRUE
10.48550/arxiv.2206.15054,10.37236/11364,1,journal-article,TRUE
10.48550/arxiv.2307.02698,10.1109/wacv61041.2025.00932,1,proceedings-article,FALSE
10.48550/arxiv.2305.06625,10.1007/978-3-031-70365-2_19,1,book-chapter,FALSE
10.48550/arxiv.2012.05604,10.1016/j.fss.2023.108564,0.9875,journal-article,TRUE
10.48550/arxiv.1909.06739,10.1137/19m1260475,1,journal-article,TRUE
10.48550/arxiv.hep-th/0401215,10.1063/1.1632173,0.875,proceedings-article,TRUE
10.48550/arxiv.2106.15213,10.1112/mtk.12137,0.9235,journal-article,TRUE
10.48550/arxiv.1511.06513,10.1090/tran/7122,0.8792,journal-article,FALSE
10.48550/arxiv.math/0604071,10.1515/crelle.2010.038,0.951,journal-article,FALSE
10.48550/arxiv.2501.10529,10.1109/ieeeconf60004.2024.10942931,0.875,proceedings-article,FALSE
10.48550/arxiv.2101.08437,10.1088/1361-648x/abdff6,0.9784,journal-article,TRUE
10.48550/arxiv.1611.02538,10.1016/j.jocs.2018.03.008,0.8985,journal-article,FALSE
10.48550/arxiv.1502.05634,10.1063/1.4913967,0.9868,journal-article,TRUE
10.48550/arxiv.1101.5345,10.1007/978-3-642-22935-0_56,0.9889,book-chapter,FALSE
10.48550/arxiv.1411.3703,10.4171/jncg/235,1,journal-article,TRUE
10.48550/arxiv.2411.14264,10.1109/pimrc59610.2024.10817188,0.8783,proceedings-article,FALSE
10.48550/arxiv.0708.1037,10.1109/tit.2009.2015991,1,journal-article,TRUE
10.48550/arxiv.2403.10012,10.1016/j.optlastec.2024.112080,1,journal-article,TRUE
